,size,color,shape,target,concept
0,0,0,2,1,0
1,2,1,2,0,0
2,0,0,0,1,0
3,1,2,0,0,0
4,0,0,1,1,0
5,1,1,0,0,0
6,0,0,0,1,0
7,0,2,0,0,0
8,0,0,2,1,0
9,0,2,2,0,0
10,0,0,2,1,0
11,2,2,2,0,0
12,0,0,1,1,0
13,1,0,0,0,0
14,0,0,1,1,0
15,2,0,0,0,0
16,0,0,2,1,0
17,1,2,1,0,0
18,0,0,1,1,0
19,1,1,1,0,0
20,0,0,1,1,0
21,1,2,0,0,0
22,0,0,2,1,0
23,2,2,1,0,0
24,0,0,2,1,0
25,0,1,2,0,0
26,0,0,1,1,0
27,2,1,0,0,0
28,0,0,1,1,0
29,0,1,1,0,0
30,0,0,2,1,0
31,1,2,2,0,0
32,0,0,2,1,0
33,2,2,1,0,0
34,0,0,0,1,0
35,2,1,0,0,0
36,0,0,1,1,0
37,1,0,2,0,0
38,0,0,0,1,0
39,0,2,1,0,0
40,0,0,1,1,0
41,2,0,0,0,0
42,0,0,2,1,0
43,0,1,0,0,0
44,0,0,1,1,0
45,2,2,1,0,0
46,0,0,0,1,0
47,2,2,2,0,0
48,0,0,1,1,0
49,1,0,2,0,0
50,0,0,0,1,0
51,1,0,2,0,0
52,0,0,1,1,0
53,2,1,1,0,0
54,0,0,2,1,0
55,2,0,2,0,0
56,0,0,1,1,0
57,2,2,0,0,0
58,0,0,0,1,0
59,1,0,2,0,0
60,0,0,2,1,0
61,0,1,0,0,0
62,0,0,1,1,0
63,2,2,2,0,0
64,0,0,2,1,0
65,2,1,0,0,0
66,0,0,1,1,0
67,0,1,0,0,0
68,0,0,0,1,0
69,0,1,2,0,0
70,0,0,1,1,0
71,1,2,0,0,0
72,0,0,1,1,0
73,0,1,2,0,0
74,0,0,1,1,0
75,2,1,1,0,0
76,0,0,1,1,0
77,1,0,1,0,0
78,0,0,0,1,0
79,2,1,1,0,0
80,0,0,1,1,0
81,2,1,1,0,0
82,0,0,0,1,0
83,1,2,2,0,0
84,0,0,0,1,0
85,2,0,0,0,0
86,0,0,2,1,0
87,1,1,0,0,0
88,0,0,2,1,0
89,2,0,0,0,0
90,0,0,1,1,0
91,1,0,2,0,0
92,0,0,1,1,0
93,1,0,2,0,0
94,0,0,1,1,0
95,1,1,0,0,0
96,0,0,0,1,0
97,2,0,1,0,0
98,0,0,2,1,0
99,1,2,1,0,0
100,0,0,0,1,0
101,2,0,0,0,0
102,0,0,0,1,0
103,2,1,2,0,0
104,0,0,1,1,0
105,1,2,2,0,0
106,0,0,2,1,0
107,1,0,2,0,0
108,0,0,2,1,0
109,0,2,2,0,0
110,0,0,2,1,0
111,2,2,1,0,0
112,0,0,0,1,0
113,1,2,2,0,0
114,0,0,2,1,0
115,1,2,0,0,0
116,0,0,0,1,0
117,0,2,0,0,0
118,0,0,0,1,0
119,0,2,0,0,0
120,0,0,1,1,0
121,0,2,0,0,0
122,0,0,0,1,0
123,0,2,2,0,0
124,0,0,1,1,0
125,2,0,0,0,0
126,0,0,1,1,0
127,1,1,1,0,0
128,0,0,2,1,0
129,1,0,2,0,0
130,0,0,1,1,0
131,0,2,1,0,0
132,0,0,2,1,0
133,2,1,0,0,0
134,0,0,2,1,0
135,1,2,1,0,0
136,0,0,2,1,0
137,2,2,2,0,0
138,0,0,2,1,0
139,0,2,1,0,0
140,0,0,2,1,0
141,0,1,2,0,0
142,0,0,2,1,0
143,1,1,0,0,0
144,0,0,1,1,0
145,2,2,1,0,0
146,0,0,2,1,0
147,1,0,2,0,0
148,0,0,2,1,0
149,0,2,1,0,0
150,0,0,2,1,0
151,1,0,1,0,0
152,0,0,0,1,0
153,0,1,1,0,0
154,0,0,2,1,0
155,0,1,2,0,0
156,0,0,2,1,0
157,0,1,2,0,0
158,0,0,2,1,0
159,1,1,2,0,0
160,0,0,2,1,0
161,1,0,2,0,0
162,0,0,1,1,0
163,0,2,2,0,0
164,0,0,0,1,0
165,2,2,0,0,0
166,0,0,1,1,0
167,2,1,1,0,0
168,0,0,1,1,0
169,1,1,1,0,0
170,0,0,1,1,0
171,1,0,1,0,0
172,0,0,2,1,0
173,1,0,1,0,0
174,0,0,1,1,0
175,0,2,2,0,0
176,0,0,2,1,0
177,0,2,0,0,0
178,0,0,0,1,0
179,0,2,0,0,0
180,0,0,0,1,0
181,1,2,0,0,0
182,0,0,1,1,0
183,2,2,0,0,0
184,0,0,2,1,0
185,1,0,2,0,0
186,0,0,1,1,0
187,2,0,2,0,0
188,0,0,0,1,0
189,1,2,1,0,0
190,0,0,0,1,0
191,2,1,1,0,0
192,0,0,1,1,0
193,0,1,2,0,0
194,0,0,0,1,0
195,2,2,0,0,0
196,0,0,2,1,0
197,0,1,0,0,0
198,0,0,2,1,0
199,1,0,0,0,0
200,0,0,0,1,0
201,0,2,2,0,0
202,0,0,1,1,0
203,0,1,1,0,0
204,0,0,1,1,0
205,0,1,1,0,0
206,0,0,0,1,0
207,0,2,1,0,0
208,0,0,0,1,0
209,2,2,0,0,0
210,0,0,2,1,0
211,2,2,1,0,0
212,0,0,0,1,0
213,1,2,0,0,0
214,0,0,0,1,0
215,0,1,1,0,0
216,0,0,2,1,0
217,1,0,0,0,0
218,0,0,1,1,0
219,1,0,0,0,0
220,0,0,1,1,0
221,2,0,1,0,0
222,0,0,1,1,0
223,1,0,0,0,0
224,0,0,2,1,0
225,2,0,1,0,0
226,0,0,0,1,0
227,0,1,2,0,0
228,0,0,1,1,0
229,1,0,0,0,0
230,0,0,1,1,0
231,2,0,0,0,0
232,0,0,1,1,0
233,1,1,0,0,0
234,0,0,2,1,0
235,1,0,1,0,0
236,0,0,2,1,0
237,1,1,0,0,0
238,0,0,1,1,0
239,2,0,1,0,0
240,0,0,1,1,0
241,2,1,1,0,0
242,0,0,1,1,0
243,0,1,2,0,0
244,0,0,2,1,0
245,1,0,1,0,0
246,0,0,2,1,0
247,1,2,1,0,0
248,0,0,2,1,0
249,2,1,1,0,0
250,0,0,2,1,0
251,1,2,2,0,0
252,0,0,2,1,0
253,2,2,0,0,0
254,0,0,0,1,0
255,2,1,0,0,0
256,0,0,1,1,0
257,0,1,2,0,0
258,0,0,0,1,0
259,2,0,2,0,0
260,0,0,1,1,0
261,2,1,2,0,0
262,0,0,1,1,0
263,0,1,1,0,0
264,0,0,2,1,0
265,2,1,0,0,0
266,0,0,1,1,0
267,0,2,0,0,0
268,0,0,2,1,0
269,0,1,0,0,0
270,0,0,0,1,0
271,1,0,0,0,0
272,0,0,0,1,0
273,2,1,2,0,0
274,0,0,1,1,0
275,0,2,1,0,0
276,0,0,2,1,0
277,1,0,2,0,0
278,0,0,2,1,0
279,2,1,0,0,0
280,0,0,2,1,0
281,1,0,0,0,0
282,0,0,2,1,0
283,2,1,0,0,0
284,0,0,0,1,0
285,0,2,1,0,0
286,0,0,0,1,0
287,0,1,1,0,0
288,0,0,1,1,0
289,1,2,0,0,0
290,0,0,1,1,0
291,0,2,1,0,0
292,0,0,2,1,0
293,2,0,1,0,0
