,size,color,shape,target,concept
0,1,0,2,0,0
1,2,1,0,0,0
2,2,1,2,0,0
3,1,2,0,0,0
4,2,2,1,0,0
5,1,1,2,0,0
6,2,2,0,0,0
7,1,2,2,0,0
8,1,2,0,0,0
9,2,0,2,0,0
10,2,1,2,0,0
11,2,0,2,0,0
12,0,1,0,0,0
13,1,2,1,0,0
14,1,0,2,0,0
15,2,0,1,0,0
16,1,1,1,0,0
17,0,1,1,0,0
18,1,1,2,0,0
19,0,1,0,0,0
20,0,0,2,1,0
21,0,0,1,1,0
22,2,1,2,0,0
23,2,1,2,0,0
24,0,1,2,0,0
25,2,0,0,0,0
26,1,1,0,0,0
27,0,1,1,0,0
28,2,2,0,0,0
29,1,1,2,0,0
30,1,1,2,0,0
31,2,1,0,0,0
32,2,2,0,0,0
33,1,0,2,0,0
34,2,0,0,0,0
35,0,0,0,1,0
36,1,2,0,0,0
37,1,0,0,0,0
38,0,1,0,0,0
39,2,1,2,0,0
40,1,1,2,0,0
41,1,2,1,0,0
42,0,0,1,1,0
43,1,1,0,0,0
44,2,2,2,0,0
45,1,2,0,0,0
46,1,0,0,0,0
47,1,0,2,0,0
48,0,1,1,0,0
49,2,0,2,0,0
50,2,2,1,0,0
51,2,2,2,0,0
52,0,0,0,1,0
53,0,2,0,0,0
54,0,2,2,0,0
55,0,2,0,0,0
56,0,1,2,0,0
57,2,0,0,0,0
58,0,0,2,1,0
59,0,2,2,0,0
60,2,2,0,0,0
61,2,0,2,0,0
62,0,2,2,0,0
63,1,0,0,0,0
64,1,0,0,0,0
65,0,0,2,1,0
66,2,2,2,0,0
67,2,0,2,0,0
68,0,2,0,0,0
69,1,0,1,0,0
70,1,1,2,0,0
71,1,2,1,0,0
72,2,0,1,0,0
73,2,1,1,0,0
74,2,2,0,0,0
75,0,0,1,1,0
76,1,0,0,0,0
77,1,1,2,0,0
78,0,0,1,1,0
79,2,0,0,0,0
80,2,1,2,0,0
81,0,0,2,1,0
82,1,2,1,0,0
83,2,0,1,0,0
84,1,0,2,0,0
85,1,2,1,0,0
86,2,2,0,0,0
87,0,2,0,0,0
88,1,0,0,0,0
89,0,0,1,1,0
90,1,1,1,0,0
91,0,1,1,0,0
92,1,1,2,0,0
93,1,0,0,0,0
94,0,0,1,1,0
95,1,2,0,0,0
96,2,2,0,0,0
97,0,2,1,0,0
98,0,1,0,0,0
99,0,1,2,0,0
100,2,0,0,0,0
101,2,2,0,0,0
102,1,0,2,0,0
103,2,2,1,0,0
104,1,2,0,0,0
105,0,0,2,1,0
106,0,0,1,1,0
107,2,2,1,0,0
108,1,2,0,0,0
109,2,0,2,0,0
110,1,1,2,0,0
