salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,target,concept
81111.79339603918,0.0,66,4,10,3,693649.1345000075,14,378608.5498206853,1,0
118621.36367320082,0.0,54,1,16,5,274761.63028328714,24,307825.66205877677,0,0
112174.53455996199,0.0,75,1,18,3,683730.5441942455,2,385344.5066118423,1,0
101727.24853570896,0.0,49,0,5,5,267091.81069767376,12,396829.2743010356,0,0
22524.705277660607,74905.92561226997,74,4,11,6,222737.27076058788,11,425670.6820902558,1,0
56951.27189984202,62128.16919823992,58,2,16,8,0.0,22,486007.3716003625,0,0
46121.65234651218,15313.578602694557,39,2,5,4,410925.6508964644,16,109343.18934013354,1,0
45407.260074922546,39144.921810990985,52,1,11,5,375038.2319894703,29,399888.9664024475,0,0
95251.6226255865,0.0,79,4,13,1,432985.4254475523,2,258868.00186884918,1,0
142764.79493045766,0.0,59,2,6,0,1016211.7011641492,4,181710.54283420552,0,0
102767.12234455622,0.0,31,4,4,0,927709.2125155104,29,13110.201098980422,1,0
47606.54027799472,53785.53504574369,47,0,20,4,373614.87316746556,6,381899.3055482625,0,0
122507.55960094888,0.0,73,1,18,4,559564.2471763554,9,295723.9425065006,1,0
85678.50573832613,0.0,49,4,9,4,298957.838558807,17,194708.74495391178,0,0
56644.17120845685,23786.41908782992,77,3,12,0,878085.6409353575,13,347655.59458761284,1,0
75083.31022449503,0.0,46,0,16,2,466160.82212124125,12,230487.58263704155,0,0
38343.44972351684,18634.266866232087,23,2,3,1,819732.9091714085,15,472158.1869211405,1,0
37463.00359985749,10997.299767468809,43,3,8,1,589786.3201637329,20,225103.19325166728,0,0
20903.304857447023,60507.31539483669,73,4,14,7,70247.62341928719,27,58038.06151648583,1,0
25748.29191165878,62418.32750042947,48,4,3,4,559255.3430994481,25,58492.88169181083,0,0
81799.74706318695,0.0,67,2,14,6,200123.6239679717,9,450889.2227405624,1,0
117817.51975352447,0.0,53,2,5,3,430522.58618786914,7,77571.92283827247,0,0
22587.084177048833,82096.52159204245,66,1,9,6,235885.01946896483,27,119740.75690960701,1,0
