salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,target,concept
114733.15706924,0.0,68,4,10,3,0,21,305694.7295832875,1,0
124221.42926279374,0.0,80,1,10,8,100000,24,249671.36770633963,0,0
144822.82778249725,0.0,59,1,18,3,0,1,298903.1774541398,1,0
27790.805186870464,39656.049339697835,24,3,14,5,400000,30,500000.0,0,0
26477.406629197823,75000.0,63,3,20,1,800000,21,471606.29335220077,1,0
20000.0,19994.567107704494,52,2,15,2,700000,30,182750.7653529926,0,0
41713.13599158133,53332.89373577767,49,2,17,1,800000,30,247609.19745984187,1,0
150000.0,0.0,40,2,6,0,0,1,149523.64682812043,0,0
20000.0,75000.0,76,2,8,1,800000,30,166551.98697562623,1,0
57322.67694678298,0.0,30,4,9,4,500000,30,348408.88941167213,0,0
150000.0,0.0,20,4,9,0,0,23,0.0,1,0
47933.49207746405,0.0,69,0,16,2,700000,24,303719.79020143417,0,0
150000.0,0.0,20,1,13,7,200000,30,127170.61698696186,1,0
75851.6026866068,58560.04768242942,34,0,5,1,800000,23,391546.9168127635,0,0
49977.740760228975,0.0,57,1,11,8,100000,15,19717.882901727062,1,0
73235.3493925204,0.0,31,2,11,0,900000,4,304407.10220482695,0,0
78975.4958428005,17114.351344361876,33,3,17,0,0,1,149615.33969529584,1,0
150000.0,0.0,80,3,15,3,600000,1,230693.96511596633,0,0
20000.0,21649.222559643873,66,3,17,1,0,24,500000.0,1,0
36590.382453439044,0.0,72,2,14,6,300000,15,500000.0,0,0
20000.0,22412.311747257405,37,0,9,0,900000,16,258786.14365952107,1,0
55404.6039305733,0.0,80,2,5,3,600000,1,167284.47151068453,0,0
146283.9501089119,0.0,77,3,13,2,700000,18,376834.42491893953,1,0
55287.119981658885,0.0,41,0,12,7,200000,4,173072.92032690224,0,0
70764.72540693251,0.0,61,1,8,6,300000,21,500000.0,1,0
139641.70792520477,0.0,62,2,11,0,0,7,166154.51731622327,0,0
72034.437848698,10000.0,45,4,2,7,200000,30,419205.5648725188,1,0
20000.0,75000.0,20,2,16,2,700000,15,46278.23567576762,0,0
20000.0,35986.67323003377,20,4,8,8,100000,10,0.0,1,0
118617.95683243797,0.0,29,3,12,5,400000,23,281494.59942353383,0,0
94210.0765503226,0.0,80,1,20,5,0,6,500000.0,1,0
116280.7151217072,0.0,63,4,7,0,900000,17,333697.061105862,0,0
43622.56006260319,72648.19367479242,35,3,14,5,400000,14,0.0,1,0
124497.22745919952,0.0,69,0,18,5,400000,1,198097.20502435282,0,0
150000.0,0.0,52,2,20,1,800000,21,441338.07474318007,1,0
20000.0,51781.19476884893,46,4,1,1,800000,1,300535.1893628245,0,0
20000.0,68922.0574251385,20,4,4,3,600000,21,266659.37584372086,1,0
72684.66820957727,0.0,78,1,20,6,300000,30,500000.0,0,0
20000.0,35538.21926415865,38,0,1,6,300000,1,50024.74112913213,1,0
52831.595266818156,0.0,21,2,19,1,800000,21,9910.672345726736,0,0
136002.885446787,0.0,66,2,16,1,0,8,148296.6076977496,1,0
20000.0,72735.34961173948,80,2,16,3,600000,8,0.0,0,0
20000.0,33204.563908166834,20,0,4,5,400000,13,0.0,1,0
150000.0,0.0,44,3,11,5,400000,16,351090.5049407207,0,0
127911.03273671487,0.0,55,1,6,2,700000,22,0.0,1,0
115587.30525934797,0.0,40,0,12,5,400000,1,470015.4322351884,0,0
20000.0,73449.96131666141,80,4,13,1,800000,23,50134.66290127003,1,0
52622.45345492608,10000.0,40,0,11,8,100000,30,113347.44179347095,0,0
131811.61520796485,0.0,43,2,4,6,300000,18,478877.2392850425,1,0
52045.011146243545,0.0,48,1,1,5,400000,13,0.0,0,0
150000.0,0.0,80,1,1,7,200000,1,0.0,1,0
125892.37213262913,0.0,78,3,10,0,900000,30,0.0,0,0
150000.0,0.0,45,0,4,4,500000,16,85253.03099402104,1,0
150000.0,0.0,60,3,7,5,400000,24,500000.0,0,0
113847.1700150779,0.0,74,4,16,2,0,9,433929.30448909604,1,0
38742.32657315264,10448.901676192934,44,2,8,5,400000,30,347975.2540510509,0,0
72290.44800333967,31964.784792653987,45,2,2,7,200000,22,0.0,1,0
150000.0,0.0,52,2,13,4,500000,30,355584.29908643744,0,0
20000.0,75000.0,70,1,13,1,0,30,220232.61500870346,1,0
20000.0,40960.67002358534,60,1,10,5,400000,21,120859.0086637451,0,0
38739.13034774171,75000.0,80,3,10,3,0,19,343788.1534800106,1,0
106340.76787676773,0.0,56,2,4,6,300000,25,231249.12118273898,0,0
144217.2021823642,0.0,42,2,4,7,200000,25,263625.82803805696,1,0
20000.0,20692.56238704624,75,0,11,3,600000,23,62268.27906650239,0,0
47348.756323534326,48511.45561692536,20,4,20,6,300000,25,434253.8885451577,1,0
42317.119514604776,0.0,50,3,7,3,0,19,265128.0447948695,0,0
150000.0,0.0,73,3,3,6,300000,27,0.0,1,0
101325.55080242566,32331.55752833716,41,3,2,5,0,30,332665.8533015386,0,0
47554.5776897047,30262.849440953854,59,0,18,4,0,15,468450.14574891806,1,0
