salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,target,concept
81111.79339603918,0.0,66,4,10,3,693649.1345000075,14,378608.5498206853,1,0
118621.36367320082,0.0,54,1,16,5,274761.63028328714,24,307825.66205877677,0,0
48356.52932702598,50787.38896403077,41,4,3,3,594611.275019462,24,234266.60867285216,0,0
112174.53455996199,0.0,75,1,18,3,683730.5441942455,2,385344.5066118423,1,0
101727.24853570896,0.0,49,0,5,5,267091.81069767376,12,396829.2743010356,0,0
62312.75577459404,41078.79291276678,56,1,14,3,352245.53212704894,24,112609.84376787387,0,0
22524.705277660607,74905.92561226997,74,4,11,6,222737.27076058788,11,425670.6820902558,1,0
98870.86653298174,0.0,34,1,15,5,190831.3286373594,12,246670.88909256112,1,0
128746.76973859046,0.0,29,2,13,5,250650.35136055545,23,499582.56525082124,1,0
80444.93177503775,0.0,30,1,11,3,540510.4856437937,3,48995.38286451377,1,0
129662.43246634246,0.0,20,1,15,3,425142.74354482006,3,97823.39186597294,1,0
56951.27189984202,62128.16919823992,58,2,16,8,0.0,22,486007.3716003625,0,0
46121.65234651218,15313.578602694557,39,2,5,4,410925.6508964644,16,109343.18934013354,1,0
45407.260074922546,39144.921810990985,52,1,11,5,375038.2319894703,29,399888.9664024475,0,0
95251.6226255865,0.0,79,4,13,1,432985.4254475523,2,258868.00186884918,1,0
142875.5489575927,0.0,33,4,3,8,0.0,16,291968.04686981434,1,0
115139.25724818617,0.0,30,0,5,1,917970.6041553474,20,280838.0827772686,1,0
149301.06780352176,0.0,60,0,20,1,742023.2111653815,18,349158.049802257,1,0
20060.36949137133,31072.007359333176,31,0,4,3,539581.1319643834,21,95047.799724994,1,0
44200.54354881595,33524.67809209986,66,3,15,3,450101.7465678238,28,224366.43713607968,1,0
74394.88461069606,62727.391273030975,76,1,6,4,359159.9827913513,25,89712.93403461583,1,0
79192.69427107202,0.0,20,0,11,0,1018261.7260392908,25,253443.08621890997,1,0
105614.9057069836,0.0,22,1,20,7,105455.08973033071,18,402912.75102627213,1,0
