salary,commission,age,elevel,car,zipcode,hvalue,hyears,loan,target,concept
114733.15706924,0.0,68,4,10,3,0,21,305694.7295832875,1,0
124221.42926279374,0.0,80,1,10,8,100000,24,249671.36770633963,0,0
144822.82778249725,0.0,59,1,18,3,0,1,298903.1774541398,1,0
27790.805186870464,39656.049339697835,24,3,14,5,400000,30,500000.0,0,0
26477.406629197823,75000.0,63,3,20,1,800000,21,471606.29335220077,1,0
20000.0,19994.567107704494,52,2,15,2,700000,30,182750.7653529926,0,0
52807.23572693244,61621.001003062716,65,1,3,3,0,6,500000.0,0,0
44696.53459057608,31874.30769535692,39,2,17,1,800000,30,247609.19745984187,0,0
150000.0,0.0,62,4,13,1,800000,14,482093.02361910645,1,0
54830.7778964242,66915.05695466502,77,1,6,1,800000,1,245608.8233287726,1,0
127017.69142198646,0.0,27,0,9,0,900000,1,162722.25722046272,1,0
33595.42815951201,46721.750528726705,80,3,15,3,600000,25,350680.31789043825,1,0
20000.0,68550.66188660977,30,2,1,3,0,1,245309.22244117165,1,0
131302.05214193263,0.0,29,2,6,3,0,1,500000.0,0,0
20000.0,75000.0,28,1,12,7,200000,29,309284.2736521624,0,0
20000.0,63999.208887066154,53,0,9,3,600000,21,500000.0,1,0
64328.472320666,0.0,34,1,1,8,100000,17,141336.15093365824,1,0
150000.0,0.0,27,2,19,5,400000,1,342011.2364117794,1,0
62432.86828218963,44251.07060118902,34,4,10,4,0,14,418615.5524547881,0,0
20000.0,43336.40772899369,57,4,5,1,800000,6,499279.39918773365,1,0
98151.45787259491,0.0,66,2,1,6,300000,30,500000.0,1,0
20000.0,51596.47410936373,20,2,17,3,0,14,101039.15742817288,1,0
136948.34498117657,0.0,48,4,4,3,0,17,175535.2817595267,1,0
150000.0,0.0,34,3,11,5,400000,15,267385.20681868366,0,0
78422.63973161041,59905.85635607942,63,1,14,8,100000,30,80850.64253010953,0,0
20000.0,25094.911216127046,37,2,15,5,400000,20,414131.8182608315,1,0
145865.02209137415,0.0,46,4,16,5,400000,1,166971.8412984158,0,0
20000.0,46308.19684168436,47,0,10,1,0,1,404309.7501330843,0,0
57361.4618022659,31958.223079497307,48,3,10,0,0,17,183712.92636636042,1,0
65725.32043340532,0.0,43,2,12,5,400000,6,0.0,0,0
20000.0,10000.0,62,3,9,6,300000,1,261496.1005271466,1,0
60680.96485051546,0.0,60,0,20,8,100000,26,500000.0,0,0
77729.74639394697,0.0,55,3,15,3,0,16,233454.76339399506,0,0
139049.99014780033,0.0,26,2,18,5,400000,30,500000.0,1,0
58832.393964276336,68307.2254494344,80,3,17,4,0,8,0.0,1,0
126360.35634271256,0.0,54,0,4,5,400000,18,0.0,1,0
107035.58190888783,0.0,43,2,3,8,100000,6,72955.01155156552,1,0
20000.0,0.0,80,1,2,2,0,10,0.0,1,0
105419.84356812516,62658.92292382446,20,3,3,1,800000,17,204396.3756588378,1,0
150000.0,0.0,80,0,14,8,100000,7,63643.066456070475,0,0
37134.954050272325,67394.1831718455,43,1,9,6,300000,30,188220.0345430503,1,0
60166.798533435445,0.0,54,2,20,2,700000,10,153548.76282914888,0,0
110419.07258781834,0.0,80,4,13,7,200000,30,196095.0577697081,0,0
82629.98643440161,0.0,23,1,8,6,300000,21,500000.0,1,0
50338.19947629318,27923.892251507023,49,4,14,7,200000,30,199767.7640436505,1,0
101652.64023502274,0.0,28,2,15,6,300000,9,214811.16702467168,1,0
72034.437848698,10000.0,45,4,2,7,200000,30,419205.5648725188,1,0
20000.0,75000.0,20,2,16,2,700000,15,46278.23567576762,0,0
20000.0,51035.17651738407,33,1,7,1,0,1,500000.0,0,0
142120.92611889238,0.0,45,3,7,7,200000,1,500000.0,0,0
110747.18733478134,0.0,49,3,12,5,400000,23,281494.59942353383,1,0
94210.0765503226,0.0,80,1,20,5,0,6,500000.0,1,0
29166.613356713307,39330.426764324584,66,0,10,1,800000,30,81120.85060636708,1,0
81340.50607614225,34644.26539703448,80,1,1,3,600000,4,275883.4736470116,0,0
46902.235380213606,62682.50326035098,56,3,13,1,800000,20,500000.0,0,0
71594.66819001242,0.0,48,4,12,7,200000,1,31518.83009328859,0,0
150000.0,0.0,42,2,20,1,800000,21,441338.07474318007,1,0
32763.049939860146,12089.727244254753,42,0,16,0,0,3,269799.644828841,1,0
47261.83429209418,10000.0,80,0,20,4,0,27,62861.59596323116,1,0
105849.32339770527,0.0,63,0,2,1,800000,1,216060.48795117284,0,0
76705.49738621718,0.0,40,4,20,0,0,24,334257.446093266,0,0
150000.0,0.0,62,4,5,3,0,1,266985.4444564796,1,0
150000.0,0.0,50,3,2,0,0,18,500000.0,0,0
135198.51903831365,0.0,20,4,13,4,500000,10,395732.76494757476,1,0
71634.37111791651,39301.20763546174,41,0,14,3,600000,27,348140.277160534,1,0
56859.423044719675,0.0,44,2,19,1,800000,21,9910.672345726736,1,0
115327.00099663643,75000.0,30,3,10,6,300000,30,287151.789437422,0,0
68902.08596563704,0.0,32,2,15,5,400000,1,0.0,1,0
