recall,f1-score,kappa,precision,last_recall,last_f1-score,last_kappa,last_precision,recall_pred_0_with_drift,recall_pred_0_without_drift,f1-score_pred_0_with_drift,f1-score_pred_0_without_drift,kappa_pred_0_with_drift,kappa_pred_0_without_drift,precision_pred_0_with_drift,precision_pred_0_without_drift
0.729,0.729,0.0,0.729,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.693,0.693,0.0212331824268316,0.693,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.672,0.672,0.0853777557177832,0.672,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.634,0.634,0.0942522136376909,0.634,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.617,0.617,0.1288564591995488,0.617,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.603,0.603,0.1493610565921304,0.603,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.617,0.617,0.1942880704145945,0.617,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.632,0.632,0.2026796895650705,0.632,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.653,0.653,0.2275018255000089,0.653,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.645,0.645,0.2286901202808871,0.645,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.635,0.635,0.2215757865283558,0.635,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.636,0.636,0.2128027681660899,0.636,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.637,0.637,0.2048889472992507,0.637,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.663,0.663,0.2590149516270887,0.663,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.656,0.656,0.2651582473169732,0.656,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.636,0.636,0.2308895058676369,0.636,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.631,0.631,0.2221819377576918,0.631,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.643,0.643,0.2438619380856362,0.643,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.65,0.2517882261395265,0.65,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.647,0.647,0.23249523842655,0.647,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.636,0.636,0.2047852701763892,0.636,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.63,0.2057733835341796,0.63,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.644,0.644,0.2469369796249915,0.644,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.649,0.649,0.2580285119983765,0.649,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.636,0.636,0.2335034787149812,0.636,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.63,0.63,0.2114942822679981,0.63,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.627,0.627,0.2065045354754165,0.627,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.627,0.627,0.210655515676847,0.627,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.625,0.625,0.198375374091492,0.625,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.639,0.639,0.2321305505687764,0.639,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
